nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
MessagingConversationMissionActionAsReferent,components/messaging/ConversationMissionActionAsReferent.vue,0,,custom,,non
MessagingConversationMissionActionAsResponsable,components/messaging/ConversationMissionActionAsResponsable.vue,0,,custom,,non
MessagingConversationOrganisation,components/messaging/ConversationOrganisation.vue,0,,custom,,non
MessagingConversationOrganisationActionAsReferent,components/messaging/ConversationOrganisationActionAsReferent.vue,0,,custom,,non
MessagingConversationOrganisationActionAsResponsable,components/messaging/ConversationOrganisationActionAsResponsable.vue,0,,custom,,non
MessagingConversationParticipation,components/messaging/ConversationParticipation.vue,0,,custom,,non
MessagingConversationParticipationActionAsBenevole,components/messaging/ConversationParticipationActionAsBenevole.vue,0,,custom,,non
MessagingConversationParticipationActionAsResponsable,components/messaging/ConversationParticipationActionAsResponsable.vue,0,,custom,,non
MessagingConversationRecipient,components/messaging/ConversationRecipient.vue,0,,custom,title,non
MessagingConversationRecipientBenevole,components/messaging/ConversationRecipientBenevole.vue,0,,custom,user | profile,non
MessagingConversationRecipientOrganisation,components/messaging/ConversationRecipientOrganisation.vue,0,,custom,structure | users,non
MessagingConversationRecipientReferentOrAdmin,components/messaging/ConversationRecipientReferentOrAdmin.vue,0,,custom,user,non
MessagingConversationRecipientResponsable,components/messaging/ConversationRecipientResponsable.vue,0,,custom,user | showPrivateInfos,non
MessagingConversationsFilters,components/messaging/ConversationsFilters.vue,0,,custom,,non
MessagingConversationsListingResults,components/messaging/ConversationsListingResults.vue,0,,custom,,non
MessagingConversationsTabs,components/messaging/ConversationsTabs.vue,0,,custom,,oui
MessagingConversationTags,components/messaging/ConversationTags.vue,0,,custom,,oui
MessagingConversationTeaser,components/messaging/ConversationTeaser.vue,0,,custom,conversation | title | hideAvatars,non
MessagingConversationTeaserMission,components/messaging/ConversationTeaserMission.vue,0,,custom,conversation,non
MessagingConversationTeaserOrganisation,components/messaging/ConversationTeaserOrganisation.vue,0,,custom,conversation,non
MessagingConversationTeaserParticipation,components/messaging/ConversationTeaserParticipation.vue,0,,custom,conversation,non
MessagingMessageChat,components/messaging/MessageChat.vue,0,,custom,message,non
MessagingMessageParticipationContextual,components/messaging/MessageParticipationContextual.vue,0,,custom,message,non
MissionTemplatePanelInfo,components/mission-template/PanelInfo.vue,0,,custom,missionTemplate,non
MissionBoxVisitsStatistics,components/mission/BoxVisitsStatistics.vue,0,,custom,mission,non
MissionPanelInfo,components/mission/PanelInfo.vue,0,,custom,mission,non
MissionPanelResponsables,components/mission/PanelResponsables.vue,0,,custom,mission | responsables,non
MissionResponsableListItem,components/mission/ResponsableListItem.vue,0,,custom,mission | responsable,non
ModalActivities,components/modal/ModalActivities.vue,1,components/form/FormUserPreferences.vue,custom,isOpen | initialActivities,oui
ModalBulkParticipationsDecline,components/modal/ModalBulkParticipationsDecline.vue,1,components/bulk-operation/BulkOperationActionsParticipations.vue,custom,operations | isOpen,oui
ModalBulkParticipationsValidate,components/modal/ModalBulkParticipationsValidate.vue,1,components/bulk-operation/BulkOperationActionsParticipations.vue,custom,operations | isOpen,oui
ModalDeleteUserAlert,components/modal/ModalDeleteUserAlert.vue,1,components/card/CardAlert/index.vue,custom,isOpen | alert,oui
ModalFormMissionAddDates,components/modal/ModalFormMissionAddDates.vue,1,pages/admin/missions/[id]/dates.vue,custom,isOpen,oui
ModalFormMissionAddResponsable,components/modal/ModalFormMissionAddResponsable.vue,0,,custom,responsables,oui
ModalFormMissionPublish,components/modal/ModalFormMissionPublish.vue,0,,custom,mission,oui
ModalIsMinor,components/modal/ModalIsMinor.vue,0,,custom,isOpen,oui
ModalMissionChangeStateToInProgress,components/modal/ModalMissionChangeStateToInProgress.vue,0,,custom,isOpen | mission,oui
ModalMissionPublish,components/modal/ModalMissionPublish.vue,0,,custom,mission,oui
ModalMissionRefuse,components/modal/ModalMissionRefuse.vue,1,components/custom/SelectMissionState.vue,custom,isOpen | mission,oui
